epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,218.371,2.38628,5.33618,1.33877,0.39978,0.32387,0.31589,0.14161,1.82734,2.46459,1.08444,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328
2,384.323,2.31402,2.4493,1.32497,0.68119,0.14014,0.15781,0.06166,1.94578,3.93196,1.09298,0.0197862,0.00659539,0.0197862,0.00659539,0.0197862,0.00659539,0.0197862,0.00659539
3,536.622,2.41359,2.60929,1.40152,0.32793,0.24002,0.20488,0.07702,2.28723,3.19779,1.31344,0.0293903,0.00979677,0.0293903,0.00979677,0.0293903,0.00979677,0.0293903,0.00979677
4,683.5,2.46447,2.62637,1.43125,0.40545,0.33089,0.28933,0.12424,1.89405,2.60898,1.11345,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,831.566,2.29812,2.30968,1.35826,0.39148,0.32849,0.29855,0.12504,1.85141,4.55714,1.09492,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,979.442,2.21502,2.1721,1.32885,0.45992,0.37388,0.37098,0.15705,1.81159,2.26934,1.08082,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1126.92,2.13758,2.05805,1.28984,0.54148,0.36954,0.39142,0.17576,1.67951,2.09014,1.03026,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1273.44,2.07286,1.92921,1.26757,0.57823,0.47316,0.51907,0.25295,1.64567,1.82641,1.0095,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1420.24,2.01304,1.79724,1.23661,0.63848,0.48208,0.54751,0.27348,1.62782,2.04579,1.00033,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1567.3,1.96473,1.74821,1.21588,0.71676,0.50079,0.59238,0.30487,1.55828,1.68378,0.9774,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1714.34,1.91962,1.66497,1.20237,0.64586,0.56172,0.59723,0.30562,1.51967,1.53298,0.96117,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
